용례번호,규정코드,외래어구분,대분류구분,중분류구분,한글표기,원어표기,로마자표기,국명,언어명,이표기1,이표기2,이표기3,오표기1,오표기2,오표기3,오표기4,오표기5,의미,출전,노출여부,등록일시,수정일시
35,외래어 표기법,지명,,,하니아,Hania,,그리스,기타 언어,,,,,,,,,그리스의 상업 도시.,보유2,Y,2022-02-23 14:45:00,
35,국어의 로마자 표기법,,행정 구역,행정 구역,평화동1가,,Pyeonghwa-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
36,외래어 표기법,일반 용어,,,헬라스,Hellas,,그리스,기타 언어,,,,헤라스,헬라,헤라,,,고대 그리스인이 자기 나라를 부르던 이름. = 헬레네스.,"보유1, 표준국어대사전",Y,2022-02-23 14:45:00,
36,국어의 로마자 표기법,,행정 구역,행정 구역,평여동,,Pyeongyeo-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
37,외래어 표기법,지명,,,헬레스폰투스 해협,Hellespontus,,튀르키예,기타 언어,,,,,,,,,‘다르다넬스’의 옛 이름.,보유2,Y,2022-02-23 14:45:00,2023-04-18 13:29:00
37,국어의 로마자 표기법,,행정 구역,행정 구역,팔복동4가,,Palbok-dong 4-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
38,외래어 표기법,지명,,,히오스섬,Hios,,그리스,기타 언어,,,,,,,,,에게해 서부에 있는 그리스령의 섬.,보유2,Y,2022-02-23 14:45:00,
38,국어의 로마자 표기법,,행정 구역,행정 구역,팔복동3가,,Palbok-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
39,외래어 표기법,일반 용어,,,히페르보레이,Hyperborei,,그리스,기타 언어,,,,하이페르보레이,히퍼보레이,하이퍼보레이,하이퍼보레,히퍼보레,그리스 신화에 나오는 이상향.,표준국어대사전,Y,2022-02-23 14:45:00,
39,국어의 로마자 표기법,,행정 구역,행정 구역,팔복동2가,,Palbok-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
40,외래어 표기법,일반 용어,,,일리아스,Ilias,,그리스,기타 언어,,,,아이리아스,,,,,① =일리아드. ② 『지2』 ‘트로이’의 다른 이름.,"표준국어대사전, 보유1",Y,2022-02-23 14:45:00,
40,국어의 로마자 표기법,,행정 구역,행정 구역,팔복동1가,,Palbok-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
41,외래어 표기법,지명,,,인더스강,Indus강,,인도,기타 언어,,,,인두스강,,,,,『지2』 히말라야산맥을 가로질러 흐르는 강.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
41,국어의 로마자 표기법,,행정 구역,행정 구역,탑동동,,Tapdong-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
42,외래어 표기법,지명,,,이오안니나,Ioannina,,그리스,기타 언어,,,,,,,,,그리스 북서부 에피루스 지방 북부의 이오안니나주의 주도.,보유2,Y,2022-02-23 14:45:00,
42,국어의 로마자 표기법,,행정 구역,행정 구역,탄벌동,,Tanbeol-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
43,외래어 표기법,지명,,,이올코스,Iolcos,,그리스,기타 언어,,,,,,,,,그리스의 옛 지명.,보유2,Y,2022-02-23 14:45:00,
43,국어의 로마자 표기법,,행정 구역,행정 구역,칠성동2가,,Chilseong-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
44,외래어 표기법,지명,,,이오니아 제도,Ionia 제도,,그리스,기타 언어,,,,,,,,,"그리스 서쪽, 이오니아해에 있는 섬의 무리.",표준국어대사전,Y,2022-02-23 14:45:00,
44,국어의 로마자 표기법,,행정 구역,행정 구역,칠성동1가,,Chilseong-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
