항별연혁번호,규정번호,고시번호,규정코드,규정경로,시행일,구분,개정요약,이전내용,개정내용,항별연혁설명,노출여부,수정여부,등록일시,수정일시
109,458,1,외래어 표기법,본문>제2장>표 19,2017-03-28 00:00:00,부,"띄어쓰기 수정: '러시아 어'→ '러시아어', 표기 수정: 'Rostopchinya(Ростопчиня) 로스톱치냐'→ 'Rostopchina(Ростопчина) 로스톱치나'",러시아 어자모와 한글 대조표 표기:'Rostopchinya(Ростопчиня) 로스톱치냐',러시아어자모와 한글 대조표 표기:'Rostopchina(Ростопчина) 로스톱치나',"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함. 기존의 용례 'Rostopchinya(Ростопчиня) 로스톱치냐'는 러시아 인명으로 널리 쓰이는 'Rostopchina(Ростопчина) 로스톱치나'의 오기이므로 수정함.",Y,N,2018-10-23 18:03:00,2019-01-18 13:23:00
110,278,4,한글 맞춤법,본문>제3장>제2절>제6항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리나더라도' → '소리 나더라도',"그 ‘ㄷ, ㅌ’이 ‘ㅈ, ㅊ’으로소리나더라도‘ㄷ, ㅌ’으로 적는다.","그 ‘ㄷ, ㅌ’이 ‘ㅈ, ㅊ’으로소리 나더라도‘ㄷ, ㅌ’으로 적는다.","규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제6항 규정문의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 09:57:00,2019-01-15 11:13:00
111,228,4,한글 맞춤법,본문>제3장>제4절>제8항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리나는' → '소리 나는',"계, 례, 몌, 폐, 혜’의 ‘ㅖ’는 ‘ㅔ’로소리나는경우가 있더라도 ‘ㅖ’로 적는다.","‘계, 례, 몌, 폐, 혜’의 ‘ㅖ’는 ‘ㅔ’로소리 나는경우가 있더라도 ‘ㅖ’로 적는다.","규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제8항 규정문의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 10:03:00,2019-01-15 11:16:00
112,229,4,한글 맞춤법,본문>제3장>제4절>제9항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리나는' → '소리 나는',"‘의’나, 자음을 첫소리로 가지고 있는 음절의 ‘ㅢ’는 ‘ㅣ’로소리나는경우가 있더라도 ‘ㅢ’로 적는다.","‘의’나, 자음을 첫소리로 가지고 있는 음절의 ‘ㅢ’는 ‘ㅣ’로소리 나는경우가 있더라도 ‘ㅢ’로 적는다.","규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제9항 규정문의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 10:05:00,2019-01-15 11:18:00
113,231,4,한글 맞춤법,본문>제3장>제5절>제11항,2017-03-28 00:00:00,부,"띄어쓰기 수정, 용례 교체",[붙임 3] 준말에서 본음으로소리나는것은 본음대로 적는다. 국련(국제연합)대한교련(대한교육연합회),[붙임 3] 준말에서 본음으로소리 나는것은 본음대로 적는다. 국련(국제 연합)한시련(한국 시각 장애인 연합회),"규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제11항 [붙임 3]의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함. '고유 명사는 단어별로 띄어 쓰는 것이 원칙임. 현재 규정문의 띄어쓰기는 원칙을 따르고 있으므로, 한글 맞춤법 제11항 [붙임 3]의 용례 '국제연합'을 '국제 연합'과 같이 띄어 쓰는 것으로 수정함. '한글 맞춤법 제11항 [붙임 3]의 용례 중에서, ""대한교련(대한교육연합회)""를 ""한시련(한국 시각 장애인 연합회)""로 교체함.",Y,N,2018-10-24 10:08:00,2019-01-18 15:14:00
114,235,4,한글 맞춤법,본문>제4장>제2절>제15항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리나는' → '소리 나는',종결형에서 사용되는 어미 ‘-오’는 ‘요’로소리나는경우가 있더라도 그 원형을 밝혀 ‘오’로 적는다.,종결형에서 사용되는 어미 ‘-오’는 ‘요’로소리 나는경우가 있더라도 그 원형을 밝혀 ‘오’로 적는다.,"규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제15항 [붙임 2]의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 10:38:00,2019-01-15 11:22:00
115,238,4,한글 맞춤법,본문>제4장>제2절>제18항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리나는' → '소리 나는',"‘돕-, 곱-’과 같은 단음절 어간에 어미 ‘-아’가 결합되어 ‘와’로소리나는것은 ‘-와’로 적는다.지식이 아니라실천입니다.","‘돕-, 곱-’과 같은 단음절 어간에 어미 ‘-아’가 결합되어 ‘와’로소리 나는것은 ‘-와’로 적는다.","규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제18항 '6.'의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 10:41:00,2019-01-15 09:10:00
116,239,4,한글 맞춤법,본문>제4장>제3절>제19항,2017-03-28 00:00:00,부,용례 삭제: '만듦',2. '-음/-ㅁ'이 붙어서 명사로 된 것 걸음 묶음 믿음 얼음 엮음 울음 웃음 졸음 죽음 앎만듦,2. '-음/-ㅁ'이 붙어서 명사로 된 것 걸음 묶음 믿음 얼음 엮음 울음 웃음 졸음 죽음 앎,"한글 맞춤법 제19항의 ""2. ‘-음/-ㅁ’이 붙어서 명사로 된 것""에서, 동사의 명사형인 '만듦'은 파생 명사가 아니므로 부적절한 용례였음. 부적절한 용례 '만듦'을 삭제함.",Y,N,2018-10-24 10:47:00,2019-01-15 11:24:00
117,247,4,한글 맞춤법,본문>제4장>제4절>제27항,2017-03-28 00:00:00,부,띄어쓰기 수정: '소리날 때에는' → '소리 날 때에는',"‘이[齒, 虱]’가 합성어나 이에 준하는 말에서 ‘니’ 또는 ‘리’로소리날때에는 ‘니’로 적는다.","‘이[齒, 虱]’가 합성어나 이에 준하는 말에서 ‘니’ 또는 ‘리’로소리 날때에는 ‘니’로 적는다.","규정문과 ""표준국어대사전"" 간 띄어쓰기 불일치를 해결하기 위해, 한글 맞춤법 제27항 [붙임 3]의 띄어쓰기를 수정함. '소리 나다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 10:50:00,2019-01-22 16:27:00
118,248,4,한글 맞춤법,본문>제4장>제4절>제28항,2017-03-28 00:00:00,부,"용례 삭제: '부나비(불-나비)', '소나무(솔-나무)'",제28항 끝소리가 'ㄹ'인 말과 딴 말이 어울릴 적에 'ㄹ' 소리가 나지 아니하는 것은 아니 나는 대로 적는다. 다달이(달-달이) 따님(딸-님) 마되(말-되) 마소(말-소) 무자위(물-자위) 바느질(바늘-질) 부삽(불-삽) 부손(불-손) 싸전(쌀-전) 여닫이(열-닫이) 우짖다(울-짖다) 화살(활-살)부나비(불-나비) 소나무(솔-나무),제28항 끝소리가 'ㄹ'인 말과 딴 말이 어울릴 적에 'ㄹ' 소리가 나지 아니하는 것은 아니 나는 대로 적는다. 다달이(달-달이) 따님(딸-님) 마되(말-되) 마소(말-소) 무자위(물-자위) 바느질(바늘-질) 부삽(불-삽) 부손(불-손) 싸전(쌀-전) 여닫이(열-닫이) 우짖다(울-짖다) 화살(활-살),"불나비'와 '솔나무'는 전문 분야의 관행을 존중하여 표준어로 인정하고 있으므로, ‘ㄹ’이 들어간 형태를 인정하지 않는다는 조항에서 용례로 제시할 수 없음. 부적절한 용례인 '부나비(불-나비)'와 '소나무(솔-나무)'를 삭제함.",Y,N,2018-10-24 10:57:00,2019-01-15 11:28:00
119,250,4,한글 맞춤법,본문>제4장>제4절>제30항,2017-03-28 00:00:00,부,띄어쓰기 수정: '순 우리말' → '순우리말',1.순 우리말로 된 합성어로서 앞말이 모음으로 끝난 경우 2.순 우리말과 한자어로 된 합성어로서 앞말이 모음으로 끝난 경우,1.순우리말로 된 합성어로서 앞말이 모음으로 끝난 경우 2.순우리말과 한자어로 된 합성어로서 앞말이 모음으로 끝난 경우,"순우리말'이에 한 단어로 등재되어 있으므로, 한글 맞춤법 제30항 '1.'과 '2.'에서 '순 우리말'을 '순우리말'로 수정함.",Y,N,2018-10-24 11:09:00,2019-01-21 11:09:00
120,266,4,한글 맞춤법,본문>제5장>제2절>제46항,2017-03-28 00:00:00,부,용례 삭제: '그때 그곳',제46항 단음절로 된 단어가 연이어 나타날 적에는 붙여 쓸 수 있다. 좀더 큰것 이말 저말 한잎 두잎그때 그곳,제46항 단음절로 된 단어가 연이어 나타날 적에는 붙여 쓸 수 있다. 좀더 큰것 이말 저말 한잎 두잎,"그때 그곳'의 ‘그때’와 ‘그곳’은 ""표준국어대사전""에 등재된 한 단어로 항상 붙여 써야 함. ‘붙여 쓸 수도 있다’는 해당 조항의 용례로 적절하지 않으므로 삭제함.",Y,N,2018-10-24 11:14:00,2019-01-15 11:30:00
121,267,4,한글 맞춤법,본문>제5장>제3절>제47항,2017-03-28 00:00:00,부,"표현 수정, 용례 교체","다만, 앞말에 조사가 붙거나 앞말이합성 동사인 경우, 그리고 중간에 조사가 들어갈 적에는 그 뒤에 오는 보조 용언은 띄어 쓴다.강물에 떠내려가 버렸다.","다만, 앞말에 조사가 붙거나 앞말이합성 용언인 경우, 그리고 중간에 조사가 들어갈 적에는 그 뒤에 오는 보조 용언은 띄어 쓴다.이런 기회는 다시없을 듯하다.","한글 맞춤법 제47항의 '다만'은 합성 동사뿐 아니라 합성 형용사에도 적용되는 규정임. 따라서 규정문의 '합성 동사인 경우'를 '합성 용언인 경우'로 수정함. 또 형용사의 예도 보여 주기 위해, 용례 중 ""강물에 떠내려가 버렸다.""를 ""이런 기회는 다시없을 듯하다.""로 교체함.",Y,N,2018-10-24 11:21:00,2019-01-15 12:32:00
122,276,4,한글 맞춤법,본문>제6장>제56항,2017-03-28 00:00:00,부,띄어쓰기 수정: '지난 겨울' → '지난겨울',지난 겨울은 몹시 춥더라.지난 겨울은 몹시 춥드라.,지난겨울은 몹시 춥더라.지난겨울은 몹시 춥드라.,"지난겨울'이에 한 단어로 등재되어 있으므로, 한글 맞춤법 제56항 '1.'의 용례 '지난 겨울'의 띄어쓰기를 '지난겨울'로 수정함.",Y,N,2018-10-24 13:12:00,2019-01-21 11:26:00
123,277,4,한글 맞춤법,본문>제6장>제57항,2017-03-28 00:00:00,부,"표현 수정, 띄어쓰기 수정","제57항 다음 말들은 각각 구별하여 적는다. 거름 풀을썩인거름 목걸이금 목걸이, 은 목걸이-느니보다(어미) 나를찾아 오느니보다집에 있거라.","제57항 다음 말들은 각각 구별하여 적는다. 거름 풀을썩힌거름 목걸이금목걸이, 은목걸이-느니보다(어미) 나를찾아오느니보다집에 있거라.","한글 맞춤법 제57항의 용례 중에서, '풀을 썩인 거름'은 '풀을 썩힌 거름'의 잘못이므로 표현을 수정함. 한글 맞춤법 제57항에서, '표준국어대사전' 기준으로 한 단어인 일부 용례의 띄어쓰기를 붙여 쓰는 것으로 수정함.",Y,N,2018-10-24 13:20:00,2019-01-22 16:29:00
124,359,2,표준어 규정,제1부>제2장>제1절>제5항,2017-03-28 00:00:00,부,띄어쓰기 수정: '밑고리' → '밑 고리',"갓모 갈모 1. 사기 만드는 물레밑고리2. '갈모'는 갓 위에 쓰는, 유지로 만든 우비","갓모 갈모 1. 사기 만드는 물레밑 고리2. '갈모'는 갓 위에 쓰는, 유지로 만든 우비","표준어 사정 원칙 제5항 '다만'에서, 용례 '갓모'에 대한 비고의 띄어쓰기를 수정함. '밑고리'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, '밑 고리'와 같이 띄어쓰는 것으로 수정함.",Y,N,2018-10-24 13:29:00,2019-01-18 17:58:00
125,360,2,표준어 규정,제1부>제2장>제1절>제6항,2017-03-28 00:00:00,부,띄어쓰기 수정: '빌려 주다' → '빌려주다',"빌리다 빌다 1.빌려 주다, 빌려 오다 2. '용서를 빌다'는 '빌다'임.","빌리다 빌다 1.빌려주다, 빌려 오다 2. '용서를 빌다'는 '빌다'임.","표준어 사정 원칙 제6항에서, 용례 '빌리다'의 비고에 나오는 '빌려 주다'는 ""표준국어대사전"" 기준으로 한 단어임. '빌려주다'로 붙여 쓰는 것으로 수정함.",Y,N,2018-10-24 13:36:00,2019-01-18 18:00:00
126,372,2,표준어 규정,제1부>제2장>제4절>제17항,2017-03-28 00:00:00,부,띄어쓰기 수정,"제17항 비슷한 발음의 몇 형태가 쓰일 경우, 그 의미에 아무런 차이가 없고,그 중하나가 더 널리 쓰이면, 그 한 형태만을 표준어로 삼는다.(ㄱ을 표준어로 삼고, ㄴ을 버림.) 반빗-아치 반비-아치 '반빗' 노릇을 하는 사람. 찬비(饌婢). ‘반비’는밥짓는일을 맡은 계집종.","제17항 비슷한 발음의 몇 형태가 쓰일 경우, 그 의미에 아무런 차이가 없고,그중하나가 더 널리 쓰이면, 그 한 형태만을 표준어로 삼는다.(ㄱ을 표준어로 삼고, ㄴ을 버림.) 반빗-아치 반비-아치 '반빗' 노릇을 하는 사람. 찬비(饌婢). ‘반비’는밥 짓는일을 맡은 계집종.","표준어 사정 원칙 제17항 규정문에 나오는 '그 중'은 ""표준국어대사전"" 기준으로 한 단어이므로, '그중'으로 붙여 쓰는 것으로 수정함. 표준어 사정 원칙 제17항에서, 용례 '반빗-아치'에 대한 비고의 띄어쓰기를 수정함. '밥 짓다'는 ""표준국어대사전""에 한 단어로 등재되어 있지 않으므로, 규정문을 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 13:41:00,2019-01-18 18:02:00
127,669,1,외래어 표기법,본문>제3장>제15절>제7항,2017-03-28 00:00:00,부,띄어쓰기 수정: '덴마크 어'→ '덴마크어',덴마크 어의 표기 ※ 묵음과 모음의 장단에 대해서는덴마크 어의 발음을 보여 주는 사전을 참조하여야 한다.,덴마크어의 표기 ※ 묵음과 모음의 장단에 대해서는덴마크어의 발음을 보여 주는 사전을 참조하여야 한다.,"해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-24 13:52:00,2019-01-15 17:55:00
128,687,1,외래어 표기법,본문>제3장>제3절>,2017-03-28 00:00:00,부,띄어쓰기 수정: '프랑스 어'→ '프랑스어',"프랑스 어의 표기 표1에 따르고, 제1절(영어의 표기 세칙)을 준용한다. 다만,프랑스 어의 독특한 것은 그 특징을 살려서 다음과 같이 적는다.","프랑스어의 표기 표1에 따르고, 제1절(영어의 표기 세칙)을 준용한다. 다만,프랑스어의 독특한 것은 그 특징을 살려서 다음과 같이 적는다.","해', '섬', '강', '산' 등의 띄어쓰기에 관한 종전의 규정 때문에 접미사 '-어(語)' 또한 외래어 뒤에서는 띄어 쓰는 것을 원칙으로 하고 있었음. 접미사를 띄어 쓰는 예외를 인정할 수 없고 국어의 띄어쓰기는 한글 맞춤법의 규정을 따르는 것이 타당하므로 관련 규정(제4장 제3절 제1항)을 삭제하였으며, 접미사 ‘-어(語), -인(人), -족(族), -해(海)’ 및 명사 ‘섬, 강, 산, 산맥, 고원, 평야…’ 등을 외래어 뒤에서도 붙여 쓴다는 취지로을 수정함. 외래어 표기법의 규정문에 쓰인 '-어(語)'로 끝나는 말들의 띄어쓰기도 함께 수정함.",Y,N,2018-10-24 14:11:00,2019-01-15 17:55:00
129,385,2,표준어 규정,제1부>제3장>제4절>제25항,2017-03-28 00:00:00,부,"띄어쓰기 수정, 용례 삭제, 표기 수정","제25항 의미가 똑같은 형태가 몇 가지 있을 경우,그 중어느 하나가 압도적으로 널리 쓰이면, 그 단어만을 표준어로 삼는다.(ㄱ을 표준어로 삼고, ㄴ을 버림.) ㄱ ㄴ까다롭다 까닭-스럽다/까탈-스럽다꼬창-모 말뚝-모꼬창이로 구멍을 뚫으면서 심는 모 다사-스럽다 다사-하다 간섭을잘 하다-에는 -엘랑주책-없다 주책-이다 '주착->주책'은 제11항 참조","제25항 의미가 똑같은 형태가 몇 가지 있을 경우,그중어느 하나가 압도적으로 널리 쓰이면, 그 단어만을 표준어로 삼는다.(ㄱ을 표준어로 삼고, ㄴ을 버림.) ㄱ ㄴ 꼬창-모 말뚝-모꼬챙이로 구멍을 뚫으면서 심는 모 다사-스럽다 다사-하다 간섭을잘하다","표준어 사정 원칙 제25항 규정문의 띄어쓰기를 수정함. '2016년 복수 표준어 발표'를 통해 ‘까탈스럽다’를 ‘까다롭다’와 뜻이 다른 별도 표준어로 인정함에 따라, 비표준어로 제시되었던 '까탈스럽다' 및 관련 용례들을 삭제함. 표준어 사정 원칙 제25항에서, 용례 '꼬창모'의 비고에 나오는 '꼬창이'는 '꼬챙이'의 잘못이므로 표기를 수정함. 용례 '다사스럽다'의 비고에서, 띄어쓰기를 수정함. 종전에는 표준어 사정 원칙 제25항(단수 표준어)에 '엘랑'이 '에는'의 비표준어로 명시되어 있었음. 그러나 ""표준국어대사전""에서는 'ㄹ랑'을 '에' 뒤에 붙어 쓸 수 있는 표준어로 설명하고 있어 혼란이 있었음. ‘엘랑’과 ‘에는’의 뜻 차이가 명백하다면 ‘엘랑’을 별도의 표준어로 인정하는 문제를 규범정비위원회에서 논의함. '2016년 복수 표준어 발표'를 통해 ‘엘랑’을 표준어로 인정함에 따라, 관련 규정의 해당 용례를 삭제함. '2016년 복수 표준어 발표'를 통해 ‘주책이다’의 표준성을 인정함에 따라, 표준어 사정 원칙 제25항에서 해당 용례 및 비고를 삭제함.",Y,N,2018-10-24 14:14:00,2019-01-21 18:07:00
130,400,2,표준어 규정,제2부>제3장>제7항,2017-03-28 00:00:00,부,띄어쓰기 수정: '관계 없이' → '관계없이',[붙임] 다음과 같은 복합어에서는 본디의 길이에관계 없이짧게 발음한다.,[붙임] 다음과 같은 복합어에서는 본디의 길이에관계없이짧게 발음한다.,"""표준국어대사전"" 기술과의 통일성을 확보하기 위해, 표준 발음법 제7항 [붙임]에 나오는 ‘관계 없이’를 ‘관계없이’로 수정함. '관계없다'는 ""표준국어대사전"" 기준으로 한 단어임.",Y,N,2018-10-24 14:48:00,2019-01-18 18:19:00
131,530,1,외래어 표기법,본문>제3장>제4절>제1항,2017-03-28 00:00:00,부,용례 수정: 'Quorem 쿠오렘'→ 'Quórum 쿠오룸',Quorem 쿠오렘,Quórum 쿠오룸,‘Quorem’과 ‘쿠오렘’은 각각 ‘Quórum’과 ‘쿠오룸’의 오기이므로 수정함.,Y,N,2018-10-24 14:51:00,2019-01-15 17:56:00
132,405,2,표준어 규정,제2부>제4장>제12항,2017-03-28 00:00:00,부,발음 정보 수정: '닿소[다쏘]' → '닿소[다ː쏘]',"2. ‘ㅎ(ㄶ, ㅀ)’ 뒤에 ‘ㅅ’이 결합되는 경우에는, ‘ㅅ’을 [ㅆ]으로 발음한다. 닿소[다쏘]","2. ‘ㅎ(ㄶ, ㅀ)’ 뒤에 ‘ㅅ’이 결합되는 경우에는, ‘ㅅ’을 [ㅆ]으로 발음한다. 닿소[다ː쏘]","표준 발음법 제12항 '2.'에서, 용례의 발음 정보를 표준 발음에 맞추어 수정함.",Y,N,2018-10-24 14:52:00,2019-01-18 18:21:00
133,532,1,외래어 표기법,본문>제3장>제4절>제2항,2017-03-28 00:00:00,부,용례 표기 수정: 'carreterra'→ 'carretera',carreterra카레테라,carretera카레테라,용례 'carreterra'는 'carretera'의 오기이므로 수정함.,Y,N,2018-10-24 14:55:00,2019-01-15 17:56:00
134,547,1,외래어 표기법,본문>제3장>제5절>제4항,2017-03-28 00:00:00,부,용례 교체: 'mezzo 메초'→ 'Abruzzo 아브루초',mezzo 메초,Abruzzo 아브루초,"mezzo'는 이탈리아어 표기 일반 원칙에 따르면 ‘메초’로 표기해야 하지만,,등에서 관용을 인정하여 ‘메조’로 쓰고 있음. 일반 원칙을 따른 표기인 'Abruzzo(아브루초)'로 용례를 교체함.",Y,N,2018-10-24 14:59:00,2019-01-15 17:57:00
135,667,1,외래어 표기법,본문>제3장>제15절>제5항,2017-03-28 00:00:00,부,용례 수정: 'Esbjerg 에스비에르그'→ 'Esbjerg 에스비에르',Esbjerg에스비에르그,Esbjerg에스비에르,에스비에르그'는 '에스비에르'의 오기이므로 수정함.,Y,N,2018-10-24 15:02:00,2019-01-15 17:57:00
136,617,1,외래어 표기법,본문>제3장>제17절>제1항,2017-03-28 00:00:00,부,띄어쓰기 수정: 'Krungthep 끄룽텝'→ 'Krung Thep 끄룽텝',Krungthep끄룽텝,Krung Thep끄룽텝,"Krungthep'은 ‘방콕’을 달리 이르는 말로, ‘도시’라는 뜻의 ‘Krung’과 ‘천사’라는 뜻의 ‘Thep’이 합쳐진 말인데, 로마자로 적을 때는 ‘Krung Thep’과 같이 띄어 쓰는 것이 일반적이며, 《표준국어대사전》도 이를 따르고 있음. 외래어 표기법 제3장 제17절 제1항 용례를 띄어 쓰는 것으로 수정함.",Y,N,2018-10-24 15:05:00,2019-01-21 11:18:00
137,589,1,외래어 표기법,본문>제3장>제19절>제6항,2017-03-28 00:00:00,부,용례 표기 수정: 'Santarem 산타렝'→ 'Santarém 산타렝',Santarem산타렝,Santarém산타렝,Santarem'은 'Santarém'의 오기이므로 수정함.,Y,N,2018-10-24 15:08:00,2019-01-21 11:17:00
138,408,2,표준어 규정,제2부>제4장>제15항,2017-03-28 00:00:00,부,"발음 정보 수정, 띄어쓰기 수정","제15항 받침 뒤에 모음 ‘ㅏ, ㅓ, ㅗ, ㅜ, ㅟ’들로 시작되는 실질 형태소가 연결되는 경우에는, 대표음으로 바꾸어서 뒤 음절 첫소리로 옮겨 발음한다. 맛없다[마덥다][붙임] 겹받침의 경우에는,그 중하나만을 옮겨 발음한다.","제15항 받침 뒤에 모음 ‘ㅏ, ㅓ, ㅗ, ㅜ, ㅟ’들로 시작되는 실질 형태소가 연결되는 경우에는, 대표음으로 바꾸어서 뒤 음절 첫소리로 옮겨 발음한다. 맛없다[마덥따][붙임] 겹받침의 경우에는,그중하나만을 옮겨 발음한다.","표준 발음법 제15항에서, 용례의 발음 정보를 표준 발음에 맞추어 수정함. 표준 발음법 제15항 붙임에서, 규정문의 띄어쓰기를 수정함.",Y,N,2018-10-24 15:08:00,2019-01-18 18:23:00
139,525,1,외래어 표기법,본문>제3장>제21절>제1항,2017-03-28 00:00:00,부,용례 표기 수정: 'Rostopchinya(Ростопчиня) 로스톱치냐'→ 'Rostopchina(Ростопчина) 로스톱치나',Rostopchinya(Ростопчиня) 로스톱치냐,Rostopchina(Ростопчина) 로스톱치나,기존의 용례 'Rostopchinya(Ростопчиня) 로스톱치냐'는 러시아 인명으로 널리 쓰이는 'Rostopchina(Ростопчина) 로스톱치나'의 오기이므로 수정함.,Y,N,2018-10-24 15:10:00,2019-01-21 10:39:00
140,528,1,외래어 표기법,본문>제3장>제21절>제4항,2017-03-28 00:00:00,부,용례 표기 수정: 'Petrozabodsk'→ 'Petrozavodsk',Petrozabodsk(Петрозаводск) 페트로자보츠크,Petrozavodsk(Петрозаводск) 페트로자보츠크,용례 '페트로자보츠크'의 로마자 표기로 제시된 'Petrozabodsk'는 'Petrozavodsk'의 오기이므로 수정함.,Y,N,2018-10-24 15:12:00,2019-01-18 15:06:00
141,540,1,외래어 표기법,본문>제3장>제21절>제10항,2017-03-28 00:00:00,부,용례 교체: 'Dzerzhinskii(Дзержинский) 제르진스키'→ 'Tetradze(Тетрадзе) 테트라제',Dzerzhinskii(Дзержинский) 제르진스키,Tetradze(Тетрадзе) 테트라제,"기존에 용례로 제시한 ""Dzerzhinskii(Дзержинский) 제르진스키""에서, ‘제르진스키’는 폴란드계 러시아인이어서 러시아어 표기법의 용례로 적절치 않았음. 로마자 변환 표기도에서는 ‘Dzerzhinski’로 적고 있어 명확하지 않았음. 논란의 여지가 없는 ""Tetradze(Тетрадзе) 테트라제""로 용례를 교체함.",Y,N,2018-10-24 15:14:00,2019-01-21 11:17:00
142,410,2,표준어 규정,제2부>제5장>제17항,2017-03-28 00:00:00,부,발음 정보 수정: '미닫이[미다지]' → '미닫이[미ː다지]',"제17항 받침 ‘ㄷ, ㅌ(ㄾ)’이 조사나 접미사의 모음 ‘ㅣ’와 결합되는 경우에는, [ㅈ, ㅊ]으로 바꾸어서 뒤 음절 첫소리로 옮겨 발음한다. 미닫이[미다지]","제17항 받침 ‘ㄷ, ㅌ(ㄾ)’이 조사나 접미사의 모음 ‘ㅣ’와 결합되는 경우에는, [ㅈ, ㅊ]으로 바꾸어서 뒤 음절 첫소리로 옮겨 발음한다. 미닫이[미ː다지]","표준 발음법 제17항에서, 용례의 발음 정보를 표준 발음에 맞추어 수정함.",Y,N,2018-10-24 15:19:00,2019-01-18 18:27:00
