항별연혁번호,고시번호,규정번호,결정근거번호,규정코드,제목,등록일시
65,5,769,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-21 17:58:00
65,5,769,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-21 17:58:00
65,5,769,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-21 17:58:00
65,5,769,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-21 17:58:00
65,5,769,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-21 17:58:00
66,5,771,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:47:00
66,5,771,2,한글 맞춤법,국어규범정비위원회(2014. 7. 11.),2019-01-18 10:47:00
66,5,771,3,한글 맞춤법,국어심의회(2014. 8. 29.),2019-01-18 10:47:00
66,5,771,4,한글 맞춤법,국어심의회(2014. 2. 5.),2019-01-18 10:47:00
66,5,771,5,한글 맞춤법,국어심의회(2013. 4. 12.),2019-01-18 10:47:00
66,5,771,6,한글 맞춤법,국어심의회(2012. 11. 30.),2019-01-18 10:47:00
67,5,772,1,한글 맞춤법,국어규범정비위원회(2014. 12. 2.),2019-01-18 10:50:00
